pm10,,,
2021,,,
annual mean,,,
ug m-3 (gravimetric units),,,
,,,
gridcode,x,y,pm102021g
55671,460500,1219500,3.647444
56360,459500,1218500,3.640125
56361,460500,1218500,3.649971
56362,461500,1218500,3.65186
56363,462500,1218500,3.653766
56364,463500,1218500,3.654399
57050,459500,1217500,3.640925
57051,460500,1217500,3.652261
57052,461500,1217500,3.655278
57053,462500,1217500,3.657721
57054,463500,1217500,3.658941
57055,464500,1217500,3.662024
57056,465500,1217500,3.672517
57057,466500,1217500,3.670993
57740,459500,1216500,3.641953
57741,460500,1216500,3.653836
57742,461500,1216500,3.658348
57743,462500,1216500,3.66462
57744,463500,1216500,3.665344
57745,464500,1216500,3.672034
57746,465500,1216500,3.689903
57747,466500,1216500,3.676118
58428,457500,1215500,3.64147
58429,458500,1215500,3.64205
58430,459500,1215500,3.643878
58431,460500,1215500,3.656004
58432,461500,1215500,3.663923
58433,462500,1215500,3.667241
58434,463500,1215500,3.672759
58435,464500,1215500,3.693337
58436,465500,1215500,3.711594
58437,466500,1215500,3.679531
58438,467500,1215500,3.662796
59118,457500,1214500,3.642118
59119,458500,1214500,3.643112
59120,459500,1214500,3.645752
59121,460500,1214500,3.659287
59122,461500,1214500,3.67095
59123,462500,1214500,3.674182
59124,463500,1214500,3.683892
59125,464500,1214500,3.769743
59126,465500,1214500,3.72926
59127,466500,1214500,3.682306
59808,457500,1213500,3.644503
59809,458500,1213500,3.645786
59810,459500,1213500,3.651125
59811,460500,1213500,3.666023
59812,461500,1213500,3.68003
59813,462500,1213500,3.680025
59814,463500,1213500,3.709807
59815,464500,1213500,4.077706
59816,465500,1213500,3.736573
59817,466500,1213500,3.691319
60497,456500,1212500,3.645436
60498,457500,1212500,3.645978
60499,458500,1212500,3.648207
60500,459500,1212500,3.666744
60501,460500,1212500,3.67689
60502,461500,1212500,3.674507
60503,462500,1212500,3.682443
60504,463500,1212500,3.763939
60505,464500,1212500,3.867371
60506,465500,1212500,3.831589
60507,466500,1212500,3.697227
61188,457500,1211500,3.645121
61189,458500,1211500,3.656784
61190,459500,1211500,3.664807
61191,460500,1211500,3.738047
61192,461500,1211500,3.672944
61193,462500,1211500,3.68354
61194,463500,1211500,3.937936
61195,464500,1211500,4.142642
61196,465500,1211500,3.79032
61197,466500,1211500,3.681173
61878,457500,1210500,3.645286
61879,458500,1210500,3.692356
61880,459500,1210500,3.661676
61881,460500,1210500,3.674979
61882,461500,1210500,3.678824
61883,462500,1210500,3.698883
61884,463500,1210500,3.906734
61885,464500,1210500,3.945348
62568,457500,1209500,3.645736
62569,458500,1209500,3.652282
62570,459500,1209500,3.668153
62571,460500,1209500,3.687065
