pm2.5,,,
2019,,,
annual mean,,,
ug m-3,,,
,,,
ukgridcode,x,y,pm252019g
54291,460500,1221500,MISSING
54292,461500,1221500,MISSING
54294,463500,1221500,MISSING
54979,458500,1220500,MISSING
54980,459500,1220500,MISSING
54981,460500,1220500,MISSING
54982,461500,1220500,MISSING
54983,462500,1220500,MISSING
54984,463500,1220500,MISSING
54985,464500,1220500,MISSING
54986,465500,1220500,MISSING
55668,457500,1219500,MISSING
55669,458500,1219500,MISSING
55670,459500,1219500,MISSING
55671,460500,1219500,2.827849
55672,461500,1219500,MISSING
55673,462500,1219500,MISSING
55674,463500,1219500,MISSING
55675,464500,1219500,MISSING
55676,465500,1219500,MISSING
55677,466500,1219500,MISSING
55678,467500,1219500,MISSING
56358,457500,1218500,MISSING
56359,458500,1218500,MISSING
56360,459500,1218500,2.820053
56361,460500,1218500,2.829362
56362,461500,1218500,2.829854
56363,462500,1218500,2.830794
56364,463500,1218500,2.83094
56365,464500,1218500,MISSING
56366,465500,1218500,MISSING
56367,466500,1218500,MISSING
56368,467500,1218500,MISSING
56369,468500,1218500,MISSING
57047,456500,1217500,MISSING
57048,457500,1217500,MISSING
57049,458500,1217500,MISSING
57050,459500,1217500,2.820641
57051,460500,1217500,2.830215
57052,461500,1217500,2.830972
57053,462500,1217500,2.832176
57054,463500,1217500,2.832581
57055,464500,1217500,2.833566
57056,465500,1217500,2.840419
57057,466500,1217500,2.840714
57058,467500,1217500,MISSING
57059,468500,1217500,MISSING
57060,469500,1217500,MISSING
57736,455500,1216500,MISSING
57737,456500,1216500,MISSING
57738,457500,1216500,MISSING
57739,458500,1216500,MISSING
57740,459500,1216500,2.821587
57741,460500,1216500,2.831496
57742,461500,1216500,2.832543
57743,462500,1216500,2.834701
57744,463500,1216500,2.834888
57745,464500,1216500,2.837038
57746,465500,1216500,2.847075
57747,466500,1216500,2.84366
57748,467500,1216500,MISSING
57749,468500,1216500,MISSING
57750,469500,1216500,MISSING
58425,454500,1215500,MISSING
58426,455500,1215500,MISSING
58427,456500,1215500,MISSING
58428,457500,1215500,2.820945
58429,458500,1215500,2.821467
58430,459500,1215500,2.822294
58431,460500,1215500,2.832334
58432,461500,1215500,2.835225
58433,462500,1215500,2.835707
58434,463500,1215500,2.837553
58435,464500,1215500,2.844031
58436,465500,1215500,2.85449
58437,466500,1215500,2.846549
58438,467500,1215500,2.84104
58439,468500,1215500,MISSING
58440,469500,1215500,MISSING
58441,470500,1215500,MISSING
59115,454500,1214500,MISSING
59116,455500,1214500,MISSING
59117,456500,1214500,MISSING
59118,457500,1214500,2.818763
59119,458500,1214500,2.8193
59120,459500,1214500,2.820313
59121,460500,1214500,2.831498
59122,461500,1214500,2.83757
59123,462500,1214500,2.836923
59124,463500,1214500,2.84013
59125,464500,1214500,2.868769
59126,465500,1214500,2.864649
59127,466500,1214500,2.846989
59128,467500,1214500,MISSING
59129,468500,1214500,MISSING
59130,469500,1214500,MISSING
59804,453500,1213500,MISSING
59805,454500,1213500,MISSING
59806,455500,1213500,MISSING
59807,456500,1213500,MISSING
59808,457500,1213500,2.81957
