pm2.5,,,
2023,,,
annual mean,,,
ug m-3,,,
,,,
gridcode,x,y,pm252023g
55671,460500,1219500,2.087642
56360,459500,1218500,2.081238
56361,460500,1218500,2.088513
56362,461500,1218500,2.089591
56363,462500,1218500,2.090219
56364,463500,1218500,2.091255
57050,459500,1217500,2.083671
57051,460500,1217500,2.091103
57052,461500,1217500,2.0931
57053,462500,1217500,2.093231
57054,463500,1217500,2.093375
57055,464500,1217500,2.092521
57056,465500,1217500,2.093333
57057,466500,1217500,2.09297
57740,459500,1216500,2.08447
57741,460500,1216500,2.092201
57742,461500,1216500,2.093753
57743,462500,1216500,2.095321
57744,463500,1216500,2.0941
57745,464500,1216500,2.094026
57746,465500,1216500,2.095815
57747,466500,1216500,2.094011
58428,457500,1215500,2.084519
58429,458500,1215500,2.085121
58430,459500,1215500,2.085817
58431,460500,1215500,2.093968
58432,461500,1215500,2.094012
58433,462500,1215500,2.09566
58434,463500,1215500,2.095812
58435,464500,1215500,2.097443
58436,465500,1215500,2.099109
58437,466500,1215500,2.096361
58438,467500,1215500,2.094185
59118,457500,1214500,2.085357
59119,458500,1214500,2.086025
59120,459500,1214500,2.086927
59121,460500,1214500,2.095268
59122,461500,1214500,2.098033
59123,462500,1214500,2.096611
59124,463500,1214500,2.098022
59125,464500,1214500,2.108251
59126,465500,1214500,2.103644
59127,466500,1214500,2.095956
59808,457500,1213500,2.086481
59809,458500,1213500,2.087142
59810,459500,1213500,2.088388
59811,460500,1213500,2.096791
59812,461500,1213500,2.10154
59813,462500,1213500,2.099277
59814,463500,1213500,2.103292
59815,464500,1213500,2.15502
59816,465500,1213500,2.104569
59817,466500,1213500,2.098394
60497,456500,1212500,2.086516
60498,457500,1212500,2.087352
60499,458500,1212500,2.088191
60500,459500,1212500,2.09055
60501,460500,1212500,2.097989
60502,461500,1212500,2.098852
60503,462500,1212500,2.101058
60504,463500,1212500,2.112229
60505,464500,1212500,2.119159
60506,465500,1212500,2.112825
60507,466500,1212500,2.099388
61188,457500,1211500,2.088195
61189,458500,1211500,2.089841
61190,459500,1211500,2.091307
61191,460500,1211500,2.104842
61192,461500,1211500,2.098688
61193,462500,1211500,2.100867
61194,463500,1211500,2.129579
61195,464500,1211500,2.143124
61196,465500,1211500,2.109483
61197,466500,1211500,2.098732
61878,457500,1210500,2.089296
61879,458500,1210500,2.094671
61880,459500,1210500,2.092878
61881,460500,1210500,2.1006
61882,461500,1210500,2.101389
61883,462500,1210500,2.103631
61884,463500,1210500,2.126385
61885,464500,1210500,2.127163
62568,457500,1209500,2.090922
62569,458500,1209500,2.092172
62570,459500,1209500,2.094816
62571,460500,1209500,2.107285
62572,461500,1209500,2.114469
62573,462500,1209500,2.126888
62574,463500,1209500,2.119475
62575,464500,1209500,2.172215
62576,465500,1209500,2.10181
63258,457500,1208500,2.092911
63259,458500,1208500,2.094516
63260,459500,1208500,2.097103
63261,460500,1208500,2.11106
63262,461500,1208500,2.114848
63263,462500,1208500,2.121461
63264,463500,1208500,2.104335
63265,464500,1208500,2.105712
63266,465500,1208500,2.100937
63267,466500,1208500,2.098244
63947,456500,1207500,2.094932
63948,457500,1207500,2.095553
63949,458500,1207500,2.100525
63950,459500,1207500,2.096732
63951,460500,1207500,2.105292
63952,461500,1207500,2.104843
63953,462500,1207500,2.105206
63954,463500,1207500,2.109519
63955,464500,1207500,2.108969
63956,465500,1207500,2.103346
63957,466500,1207500,2.096763
64628,447500,1206500,2.082542
64629,448500,1206500,2.083794
64632,451500,1206500,2.087204
64633,452500,1206500,2.090308
64637,456500,1206500,2.099312
64638,457500,1206500,2.100988
64639,458500,1206500,2.127916
64640,459500,1206500,2.098529
64641,460500,1206500,2.106634
64642,461500,1206500,2.104882
64643,462500,1206500,2.102039
64644,463500,1206500,2.114415
64645,464500,1206500,2.098178
64646,465500,1206500,2.096932
65318,447500,1205500,2.083057
65319,448500,1205500,2.084688
65320,449500,1205500,2.086395
65321,450500,1205500,2.08778
65322,451500,1205500,2.089927
65323,452500,1205500,2.093972
65324,453500,1205500,2.097132
65325,454500,1205500,2.099205
65327,456500,1205500,2.104229
65328,457500,1205500,2.112472
65329,458500,1205500,2.098057
65330,459500,1205500,2.115851
65331,460500,1205500,2.11105
65332,461500,1205500,2.106543
65333,462500,1205500,2.101131
65334,463500,1205500,2.098813
66008,447500,1204500,2.083061
66009,448500,1204500,2.08621
66010,449500,1204500,2.086798
66011,450500,1204500,2.091149
66012,451500,1204500,2.094242
66013,452500,1204500,2.101689
66014,453500,1204500,2.109903
66015,454500,1204500,2.108467
66016,455500,1204500,2.114662
66017,456500,1204500,2.108096
66018,457500,1204500,2.10322
66019,458500,1204500,2.101637
66020,459500,1204500,2.110352
66021,460500,1204500,2.138593
66022,461500,1204500,2.114221
66023,462500,1204500,2.100032
66024,463500,1204500,2.098327
66698,447500,1203500,2.083342
66699,448500,1203500,2.095017
66700,449500,1203500,2.086452
66701,450500,1203500,2.091729
66702,451500,1203500,2.102339
66703,452500,1203500,2.103277
66704,453500,1203500,2.112319
66705,454500,1203500,2.131982
66706,455500,1203500,2.129907
66707,456500,1203500,2.113291
66708,457500,1203500,2.105959
66709,458500,1203500,2.104444
66710,459500,1203500,2.110222
66711,460500,1203500,2.110749
66712,461500,1203500,2.103733
66713,462500,1203500,2.099891
66715,464500,1203500,2.096749
67388,447500,1202500,2.083803
67389,448500,1202500,2.085861
67390,449500,1202500,2.087071
67391,450500,1202500,2.093055
67392,451500,1202500,2.146409
67393,452500,1202500,2.103179
67394,453500,1202500,2.113903
67395,454500,1202500,2.096611
67396,455500,1202500,2.128048
67397,456500,1202500,2.115548
67398,457500,1202500,2.104936
67399,458500,1202500,2.115299
67400,459500,1202500,2.132548
67401,460500,1202500,2.134346
67402,461500,1202500,2.10306
67403,462500,1202500,2.100181
67404,463500,1202500,2.09823
68078,447500,1201500,2.084462
68079,448500,1201500,2.086829
68080,449500,1201500,2.087343
68081,450500,1201500,2.111714
68082,451500,1201500,2.104736
68083,452500,1201500,2.103246
68084,453500,1201500,2.108496
68085,454500,1201500,2.115236
68086,455500,1201500,2.108937
68087,456500,1201500,2.110426
68088,457500,1201500,2.10403
68089,458500,1201500,2.108333
68090,459500,1201500,2.111874
68091,460500,1201500,2.11132
68092,461500,1201500,2.105675
68093,462500,1201500,2.101921
68094,463500,1201500,2.098526
68768,447500,1200500,2.087689
68769,448500,1200500,2.087442
68770,449500,1200500,2.0881
68771,450500,1200500,2.090102
68772,451500,1200500,2.14666
68773,452500,1200500,2.106127
68774,453500,1200500,2.104547
68775,454500,1200500,2.110888
68776,455500,1200500,2.106418
68777,456500,1200500,2.109192
68778,457500,1200500,2.103603
68779,458500,1200500,2.104579
68780,459500,1200500,2.106622
68781,460500,1200500,2.114378
68782,461500,1200500,2.104191
68783,462500,1200500,2.101513
68784,463500,1200500,2.09808
69458,447500,1199500,2.123362
69459,448500,1199500,2.107019
69460,449500,1199500,2.107338
69461,450500,1199500,2.10798
69462,451500,1199500,2.168327
69463,452500,1199500,2.124255
69464,453500,1199500,2.124567
69465,454500,1199500,2.161972
69466,455500,1199500,2.125845
69467,456500,1199500,2.121574
69468,457500,1199500,2.120497
69469,458500,1199500,2.11679
69470,459500,1199500,2.118958
69471,460500,1199500,2.115325
69472,461500,1199500,2.111047
69473,462500,1199500,2.109395
70147,446500,1198500,2.101333
70148,447500,1198500,2.113132
70149,448500,1198500,2.124078
70150,449500,1198500,2.115066
70151,450500,1198500,2.109069
70152,451500,1198500,2.118119
70153,452500,1198500,2.120339
70154,453500,1198500,2.134688
70155,454500,1198500,2.138278
70156,455500,1198500,2.121145
70157,456500,1198500,2.118941
70160,459500,1198500,2.112576
70161,460500,1198500,2.112627
70162,461500,1198500,2.110215
70164,463500,1198500,2.107102
70836,445500,1197500,2.100947
70837,446500,1197500,2.101713
70838,447500,1197500,2.102607
70839,448500,1197500,2.10813
70840,449500,1197500,2.106682
70841,450500,1197500,2.10922
70842,451500,1197500,2.118507
70843,452500,1197500,2.153096
70844,453500,1197500,2.12932
70845,454500,1197500,2.141179
70846,455500,1197500,2.11786
70847,456500,1197500,2.117422
70851,460500,1197500,2.110437
70852,461500,1197500,2.109527
71518,437500,1196500,2.079356
71519,438500,1196500,2.080621
71526,445500,1196500,2.101802
71527,446500,1196500,2.102418
71528,447500,1196500,2.103194
71529,448500,1196500,2.10427
71530,449500,1196500,2.107656
71531,450500,1196500,2.109349
71532,451500,1196500,2.113728
71533,452500,1196500,2.117506
71534,453500,1196500,2.114486
71535,454500,1196500,2.116262
71536,455500,1196500,2.114962
71538,457500,1196500,2.11356
71539,458500,1196500,2.112889
72208,437500,1195500,2.080592
72215,444500,1195500,2.101939
72216,445500,1195500,2.102757
72217,446500,1195500,2.103052
72218,447500,1195500,2.103605
72219,448500,1195500,2.104548
72220,449500,1195500,2.105851
72221,450500,1195500,2.108905
72222,451500,1195500,2.111323
72223,452500,1195500,2.11163
72224,453500,1195500,2.114594
72225,454500,1195500,2.115661
72226,455500,1195500,2.116917
72228,457500,1195500,2.112339
72229,458500,1195500,2.111531
72230,459500,1195500,2.110653
72231,460500,1195500,2.111003
72897,436500,1194500,2.080695
72898,437500,1194500,2.080918
72905,444500,1194500,2.103682
72906,445500,1194500,2.104378
72907,446500,1194500,2.104803
72908,447500,1194500,2.105219
72909,448500,1194500,2.106081
72910,449500,1194500,2.107418
72911,450500,1194500,2.110203
72912,451500,1194500,2.112636
72913,452500,1194500,2.114556
72914,453500,1194500,2.112296
72915,454500,1194500,2.116041
72916,455500,1194500,2.117967
72919,458500,1194500,2.112384
72920,459500,1194500,2.111606
72921,460500,1194500,2.109234
72922,461500,1194500,2.109686
72923,462500,1194500,2.121892
72924,463500,1194500,2.107045
72925,464500,1194500,2.10672
73582,431500,1193500,2.079503
73586,435500,1193500,2.081081
73587,436500,1193500,2.081494
73588,437500,1193500,2.082024
73589,438500,1193500,2.083071
73594,443500,1193500,2.104584
73595,444500,1193500,2.105673
73596,445500,1193500,2.1061
73597,446500,1193500,2.10898
73598,447500,1193500,2.107291
73599,448500,1193500,2.107866
73600,449500,1193500,2.109216
73601,450500,1193500,2.11349
73602,451500,1193500,2.113446
73603,452500,1193500,2.115728
73604,453500,1193500,2.115345
73605,454500,1193500,2.117539
73606,455500,1193500,2.114776
73608,457500,1193500,2.113318
73609,458500,1193500,2.112813
73610,459500,1193500,2.111108
73611,460500,1193500,2.110832
73612,461500,1193500,2.109626
73613,462500,1193500,2.107173
73614,463500,1193500,2.109328
73615,464500,1193500,2.106713
73617,466500,1193500,2.108929
73618,467500,1193500,2.105769
74271,430500,1192500,2.079115
74272,431500,1192500,2.080412
74273,432500,1192500,2.08095
74274,433500,1192500,2.080904
74276,435500,1192500,2.08165
74277,436500,1192500,2.082322
74278,437500,1192500,2.083256
74279,438500,1192500,2.083905
74284,443500,1192500,2.105156
74285,444500,1192500,2.106742
74286,445500,1192500,2.106711
74287,446500,1192500,2.108335
74288,447500,1192500,2.109448
74289,448500,1192500,2.10902
74290,449500,1192500,2.110566
74291,450500,1192500,2.116791
74292,451500,1192500,2.125492
74293,452500,1192500,2.117359
74294,453500,1192500,2.115296
74295,454500,1192500,2.113712
74296,455500,1192500,2.115844
74297,456500,1192500,2.112192
74298,457500,1192500,2.11153
74299,458500,1192500,2.111441
74300,459500,1192500,2.109556
74301,460500,1192500,2.108745
74302,461500,1192500,2.107772
74303,462500,1192500,2.106097
74304,463500,1192500,2.106598
74305,464500,1192500,2.110572
74306,465500,1192500,2.103652
74307,466500,1192500,2.108412
74308,467500,1192500,2.103997
74961,430500,1191500,2.082357
74962,431500,1191500,2.083991
74963,432500,1191500,2.084515
74964,433500,1191500,2.084342
74965,434500,1191500,2.084535
74966,435500,1191500,2.085833
74967,436500,1191500,2.087034
74968,437500,1191500,2.08872
74969,438500,1191500,2.089146
74974,443500,1191500,2.111116
74975,444500,1191500,2.112949
74976,445500,1191500,2.11321
74977,446500,1191500,2.113931
74978,447500,1191500,2.115845
74979,448500,1191500,2.118444
74980,449500,1191500,2.12033
74981,450500,1191500,2.12588
74982,451500,1191500,2.130327
74983,452500,1191500,2.122554
74984,453500,1191500,2.119853
74985,454500,1191500,2.119075
74986,455500,1191500,2.116828
74988,457500,1191500,2.110564
74989,458500,1191500,2.110373
74990,459500,1191500,2.109313
74991,460500,1191500,2.110285
74992,461500,1191500,2.1085
74993,462500,1191500,2.107088
74994,463500,1191500,2.106783
74995,464500,1191500,2.107004
74996,465500,1191500,2.106957
74997,466500,1191500,2.104902
74998,467500,1191500,2.102604
75651,430500,1190500,2.084124
75652,431500,1190500,2.085517
75653,432500,1190500,2.085588
75654,433500,1190500,2.085245
75655,434500,1190500,2.085638
75656,435500,1190500,2.087523
75657,436500,1190500,2.091191
75658,437500,1190500,2.092838
75659,438500,1190500,2.090174
75664,443500,1190500,2.112818
75665,444500,1190500,2.114621
75666,445500,1190500,2.116045
75667,446500,1190500,2.117522
75668,447500,1190500,2.117013
75669,448500,1190500,2.116914
75670,449500,1190500,2.118863
75671,450500,1190500,2.129648
75672,451500,1190500,2.134874
75673,452500,1190500,2.122895
75674,453500,1190500,2.118312
75675,454500,1190500,2.116668
75679,458500,1190500,2.108831
75680,459500,1190500,2.107873
75681,460500,1190500,2.107554
75682,461500,1190500,2.109776
75683,462500,1190500,2.115933
75684,463500,1190500,2.109065
75685,464500,1190500,2.10628
75686,465500,1190500,2.105484
75687,466500,1190500,2.105158
75688,467500,1190500,2.102451
76341,430500,1189500,2.087936
76342,431500,1189500,2.088217
76343,432500,1189500,2.086566
76344,433500,1189500,2.086104
76345,434500,1189500,2.086788
76346,435500,1189500,2.089716
76347,436500,1189500,2.099988
76348,437500,1189500,2.093838
